policy,S,M,N,F,i,u0,C1,C2,stage,feasible,message,p30,max_delay_ms,mean_delay_ms,unreachable_rate,reachable_count,sample_count,robustness_margin
strict_Tmax30,1620,135,12,89,49.75,0.0,0.999943,0.98646,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,89,49.75,22.5,0.999938,0.986417,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,89,49.75,15.0,0.999952,0.986237,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,89,49.75,7.5,0.999933,0.986003,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,22,50.0,15.0,1.0,0.985899,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,22,50.0,0.0,1.0,0.985853,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,22,50.0,10.0,1.0,0.985778,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,22,50.0,5.0,1.0,0.985719,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,89,50.25,22.5,0.999995,0.985719,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,89,50.25,0.0,0.999995,0.985652,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,89,50.25,15.0,1.0,0.985309,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,89,50.25,7.5,0.99999,0.985146,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,22,50.25,15.0,1.0,0.98498,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,22,50.25,0.0,1.0,0.98486,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,22,50.25,5.0,1.0,0.984813,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,90,18,22,50.25,10.0,1.0,0.984711,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,60,27,10,51.0,6.667,0.999995,0.983057,delay_lower_bound_reject,,,,,,,,,
