t_s,u,v,load_gbps
37800.0,503,504,0.10606060606060602
37800.0,464,465,0.09090909090909088
37800.0,502,503,0.09090909090909088
37800.0,958,959,0.09090909090909088
37800.0,920,959,0.09090909090909088
37800.0,920,921,0.09090909090909088
37800.0,925,963,0.09090909090909088
37800.0,887,925,0.09090909090909088
38700.0,997,1035,0.19696969696969685
38700.0,1035,1073,0.19696969696969685
38700.0,959,997,0.16666666666666657
38700.0,881,959,0.16666666666666657
38700.0,994,995,0.15151515151515144
38700.0,1111,1149,0.15151515151515144
38700.0,1149,1187,0.15151515151515144
38700.0,1187,1225,0.15151515151515144
38700.0,1073,1111,0.1363636363636363
38700.0,990,991,0.12121212121212116
39600.0,984,985,0.15151515151515144
39600.0,985,986,0.1363636363636363
39600.0,531,532,0.1363636363636363
39600.0,986,987,0.12121212121212116
39600.0,529,530,0.10606060606060602
39600.0,530,531,0.10606060606060602
39600.0,987,988,0.09090909090909088
39600.0,988,989,0.09090909090909088
39600.0,989,990,0.09090909090909088
39600.0,798,836,0.09090909090909088
40500.0,525,526,0.12121212121212116
40500.0,486,487,0.10606060606060602
40500.0,978,979,0.10606060606060602
40500.0,982,983,0.10606060606060602
40500.0,793,831,0.10606060606060602
40500.0,755,793,0.10606060606060602
40500.0,717,755,0.10606060606060602
40500.0,679,717,0.10606060606060602
40500.0,484,485,0.09090909090909088
40500.0,485,486,0.09090909090909088
41400.0,1014,1015,0.15151515151515144
41400.0,1011,1012,0.12121212121212116
41400.0,1015,1016,0.12121212121212116
41400.0,1012,1013,0.10606060606060602
41400.0,1013,1014,0.10606060606060602
41400.0,1128,1129,0.09090909090909088
41400.0,1129,1130,0.09090909090909088
41400.0,520,559,0.09090909090909088
41400.0,786,824,0.09090909090909088
41400.0,1016,1017,0.07575757575757575
42300.0,591,592,0.15151515151515144
42300.0,552,553,0.10606060606060602
42300.0,590,591,0.10606060606060602
42300.0,551,552,0.09090909090909088
42300.0,589,590,0.09090909090909088
42300.0,1005,1006,0.09090909090909088
42300.0,1006,1007,0.09090909090909088
42300.0,665,703,0.09090909090909088
42300.0,703,741,0.09090909090909088
42300.0,741,779,0.09090909090909088
43200.0,1041,1042,0.12121212121212116
43200.0,1077,1078,0.10606060606060602
43200.0,1078,1079,0.10606060606060602
43200.0,1156,1157,0.10606060606060602
43200.0,1040,1079,0.09090909090909088
43200.0,546,547,0.09090909090909088
43200.0,585,586,0.09090909090909088
43200.0,1042,1043,0.09090909090909088
43200.0,1157,1158,0.09090909090909088
43200.0,924,925,0.09090909090909088
44100.0,1071,1072,0.1363636363636363
44100.0,1072,1073,0.12121212121212116
44100.0,1075,1076,0.12121212121212116
44100.0,1076,1077,0.12121212121212116
44100.0,1078,1116,0.12121212121212116
44100.0,1116,1154,0.12121212121212116
44100.0,1154,1192,0.12121212121212116
44100.0,1073,1074,0.10606060606060602
44100.0,1074,1075,0.10606060606060602
44100.0,845,883,0.10606060606060602
45000.0,1065,1066,0.15151515151515144
45000.0,1066,1067,0.1363636363636363
45000.0,1067,1068,0.12121212121212116
45000.0,612,613,0.12121212121212116
45000.0,611,612,0.10606060606060602
45000.0,879,917,0.10606060606060602
45000.0,990,991,0.10606060606060602
45000.0,1068,1069,0.09090909090909088
45000.0,1069,1070,0.09090909090909088
45000.0,1070,1071,0.09090909090909088
45900.0,1097,1098,0.12121212121212116
45900.0,606,607,0.12121212121212116
45900.0,1101,1102,0.12121212121212116
45900.0,1098,1099,0.10606060606060602
45900.0,1099,1100,0.10606060606060602
45900.0,605,606,0.10606060606060602
45900.0,566,567,0.09090909090909088
45900.0,604,605,0.09090909090909088
45900.0,1102,1103,0.09090909090909088
45900.0,1104,1142,0.09090909090909088
46800.0,678,679,0.15151515151515144
46800.0,677,678,0.10606060606060602
46800.0,600,639,0.09090909090909088
46800.0,676,677,0.09090909090909088
46800.0,1091,1092,0.09090909090909088
46800.0,1092,1093,0.09090909090909088
46800.0,1093,1094,0.09090909090909088
46800.0,753,754,0.09090909090909088
46800.0,752,790,0.09090909090909088
46800.0,790,828,0.09090909090909088
47700.0,1203,1204,0.10606060606060602
47700.0,672,673,0.09090909090909088
47700.0,1124,1125,0.09090909090909088
47700.0,1125,1126,0.09090909090909088
47700.0,1128,1129,0.09090909090909088
47700.0,1129,1130,0.09090909090909088
47700.0,938,976,0.09090909090909088
47700.0,746,784,0.09090909090909088
47700.0,784,822,0.09090909090909088
47700.0,822,860,0.09090909090909088
48600.0,1158,1159,0.1363636363636363
48600.0,1122,1123,0.1363636363636363
48600.0,1120,1159,0.12121212121212116
48600.0,1120,1121,0.10606060606060602
48600.0,1121,1122,0.10606060606060602
48600.0,1123,1124,0.10606060606060602
48600.0,1124,1125,0.09090909090909088
48600.0,1125,1163,0.09090909090909088
48600.0,1163,1201,0.09090909090909088
48600.0,1201,1279,0.09090909090909088
49500.0,699,700,0.12121212121212116
49500.0,659,660,0.10606060606060602
49500.0,698,699,0.10606060606060602
49500.0,1152,1153,0.10606060606060602
49500.0,658,659,0.09090909090909088
49500.0,697,698,0.09090909090909088
49500.0,1153,1154,0.09090909090909088
49500.0,1154,1155,0.09090909090909088
49500.0,1197,1235,0.09090909090909088
49500.0,1235,1273,0.09090909090909088
50400.0,1188,1189,0.1363636363636363
50400.0,1184,1185,0.12121212121212116
50400.0,1185,1186,0.12121212121212116
50400.0,1186,1187,0.12121212121212116
50400.0,1189,1190,0.10606060606060602
50400.0,1190,1191,0.10606060606060602
50400.0,1263,1264,0.10606060606060602
50400.0,1187,1188,0.09090909090909088
50400.0,1191,1229,0.09090909090909088
50400.0,1229,1267,0.09090909090909088
51300.0,725,726,0.1363636363636363
51300.0,1178,1179,0.12121212121212116
51300.0,1179,1180,0.12121212121212116
51300.0,1180,1181,0.12121212121212116
51300.0,760,838,0.12121212121212116
51300.0,838,876,0.12121212121212116
51300.0,876,914,0.12121212121212116
51300.0,724,725,0.10606060606060602
51300.0,992,1030,0.10606060606060602
51300.0,800,801,0.10606060606060602
52200.0,1211,1212,0.10606060606060602
52200.0,1212,1213,0.10606060606060602
52200.0,720,759,0.10606060606060602
52200.0,1289,1290,0.10606060606060602
52200.0,758,759,0.09090909090909088
52200.0,1215,1216,0.09090909090909088
52200.0,1180,1218,0.09090909090909088
52200.0,1290,1291,0.09090909090909088
52200.0,1291,1292,0.09090909090909088
52200.0,1098,1099,0.09090909090909088
53100.0,1205,1206,0.12121212121212116
53100.0,1206,1207,0.12121212121212116
53100.0,1209,1210,0.12121212121212116
53100.0,1207,1208,0.10606060606060602
53100.0,1208,1209,0.10606060606060602
53100.0,1210,1211,0.09090909090909088
53100.0,1174,1212,0.09090909090909088
