sequence,mode,stage,candidate_key,elapsed_s
4704,saturation,low,"[52,35,4,50.0,0.0,0.0]",149.3354607000001
4705,saturation,low,"[52,35,5,50.0,0.0,0.0]",149.3377165999991
4706,saturation,low,"[52,35,6,50.0,0.0,0.0]",149.34142440000142
4707,saturation,low,"[52,35,7,50.0,0.0,0.0]",149.34466009999596
4708,saturation,low,"[52,35,8,50.0,0.0,0.0]",149.3477647999971
4709,saturation,low,"[52,35,9,50.0,0.0,0.0]",149.35175199999503
4710,saturation,low,"[52,35,10,50.0,0.0,0.0]",149.35642669999652
4711,saturation,low,"[52,35,11,50.0,0.0,0.0]",149.36005480000313
4712,saturation,low,"[52,35,12,50.0,0.0,0.0]",149.36297729999933
4713,saturation,low,"[52,35,13,50.0,0.0,0.0]",149.36568609999813
4714,saturation,low,"[52,35,14,50.0,0.0,0.0]",149.36739320000197
4715,saturation,low,"[52,35,15,50.0,0.0,0.0]",149.37050230000023
4716,saturation,low,"[52,35,16,50.0,0.0,0.0]",149.3726475000003
4717,saturation,low,"[52,35,17,50.0,0.0,0.0]",149.3751082000017
4718,saturation,low,"[52,35,18,50.0,0.0,0.0]",149.3778955000016
4719,saturation,low,"[52,35,19,50.0,0.0,0.0]",149.3811341000037
4720,saturation,low,"[52,35,20,50.0,0.0,0.0]",149.38342810000177
4721,saturation,low,"[52,35,21,50.0,0.0,0.0]",149.38637819999713
4722,saturation,low,"[52,35,22,50.0,0.0,0.0]",149.3904590999955
4723,saturation,low,"[52,35,23,50.0,0.0,0.0]",149.39360760000272
4724,saturation,low,"[52,35,24,50.0,0.0,0.0]",149.3964311000018
4725,saturation,low,"[52,35,25,50.0,0.0,0.0]",149.3992120000039
4726,saturation,low,"[52,35,26,50.0,0.0,0.0]",149.40053959999932
4727,saturation,low,"[52,35,27,50.0,0.0,0.0]",149.40250649999507
4728,saturation,low,"[52,35,28,50.0,0.0,0.0]",149.40537829999812
4729,saturation,low,"[52,35,29,50.0,0.0,0.0]",149.40760640000371
4730,saturation,low,"[52,35,30,50.0,0.0,0.0]",149.4101751000053
4731,saturation,low,"[52,35,31,50.0,0.0,0.0]",149.4130600999997
4732,saturation,low,"[52,35,32,50.0,0.0,0.0]",149.41505920000054
4733,saturation,low,"[52,35,33,50.0,0.0,0.0]",149.4170748999968
4734,saturation,low,"[52,35,34,50.0,0.0,0.0]",149.42173809999804
4735,saturation,low,"[52,35,35,50.0,0.0,0.0]",149.4250924999942
4736,saturation,low,"[52,35,36,50.0,0.0,0.0]",149.42846680000366
4737,saturation,low,"[52,35,37,50.0,0.0,0.0]",149.43149239999912
4738,saturation,low,"[52,35,38,50.0,0.0,0.0]",149.4328611000019
4739,saturation,low,"[52,35,39,50.0,0.0,0.0]",149.43448499999795
4740,saturation,low,"[52,35,40,50.0,0.0,0.0]",149.4364784999998
4741,saturation,low,"[52,35,41,50.0,0.0,0.0]",149.43876199999795
4742,saturation,low,"[52,35,42,50.0,0.0,0.0]",149.44053220000205
4743,saturation,low,"[52,35,43,50.0,0.0,0.0]",149.4427513000046
4744,saturation,low,"[52,35,44,50.0,0.0,0.0]",149.4453055999984
4745,saturation,low,"[52,35,45,50.0,0.0,0.0]",149.44948550000117
4746,saturation,low,"[52,35,46,50.0,0.0,0.0]",149.4535818000004
4747,saturation,low,"[52,35,47,50.0,0.0,0.0]",149.45731800000067
4748,saturation,low,"[52,35,48,50.0,0.0,0.0]",149.4606494000036
4749,saturation,low,"[52,35,49,50.0,0.0,0.0]",149.46223550000286
4750,saturation,low,"[52,35,50,50.0,0.0,0.0]",149.46372020000126
4751,saturation,low,"[52,35,51,50.0,0.0,0.0]",149.46795370000473
4752,saturation,medium,"[35,52,19,50.0,0.0,0.0]",536.2890516999978
4753,saturation,medium,"[35,52,20,50.0,0.0,0.0]",536.292176899995
4754,saturation,medium,"[35,52,24,50.0,0.0,0.0]",536.2953036000035
4755,saturation,medium,"[35,52,26,50.0,0.0,0.0]",536.2991260000053
4756,saturation,medium,"[35,52,23,50.0,0.0,0.0]",536.3037677000029
4757,saturation,medium,"[35,52,22,50.0,0.0,0.0]",536.3065817000024
4758,saturation,medium,"[35,52,25,50.0,0.0,0.0]",536.3095182999969
4759,saturation,medium,"[35,52,28,50.0,0.0,0.0]",536.3123173999993
4760,saturation,medium,"[35,52,29,50.0,0.0,0.0]",536.3136185999974
4761,saturation,medium,"[35,52,21,50.0,0.0,0.0]",536.3154141999985
4762,saturation,medium,"[35,52,27,50.0,0.0,0.0]",536.3180041999949
4763,saturation,medium,"[35,52,12,50.0,0.0,0.0]",536.3201638000028
4764,saturation,medium,"[35,52,13,50.0,0.0,0.0]",536.3227340000012
4765,saturation,medium,"[35,52,11,50.0,0.0,0.0]",536.3253089999998
4766,saturation,medium,"[35,52,14,50.0,0.0,0.0]",536.3286356000026
4767,saturation,medium,"[35,52,10,50.0,0.0,0.0]",536.3320649000016
4768,saturation,medium,"[35,52,15,50.0,0.0,0.0]",536.3367753999992
4769,saturation,medium,"[35,52,16,50.0,0.0,0.0]",536.3391388000018
4770,saturation,medium,"[35,52,18,50.0,0.0,0.0]",536.3422229999996
4771,saturation,medium,"[35,52,30,50.0,0.0,0.0]",536.3447708999956
4772,saturation,medium,"[35,52,17,50.0,0.0,0.0]",536.3463769000009
4773,saturation,medium,"[35,52,9,50.0,0.0,0.0]",536.3475421999974
